"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"CLUG_02695",4848.44998599956,1.88839360126754,0.254719933839765,7.41360745820332,1.22909365075964e-13,3.3320143589403e-11,"CLUG_02695"
"CLUG_03228",661.750743725866,1.33431031545223,0.383076563042379,3.48314265131541,0.000495564225942546,0.0455039861014664,"CLUG_03228 (SAP7)"
"CLUG_03835",1168.14095103888,1.2910136587082,0.214536446954092,6.01768919471506,1.76924475306001e-09,3.87396553045024e-07,"CLUG_03835 (SFU1)"
"CLUG_04217",9242.45765870261,1.25560873510048,0.170167153174009,7.37867862087652,1.59868206528485e-13,4.13695318075757e-11,"CLUG_04217 (CCP1)"
"CLUG_05568",3039.59668399514,1.19954097520028,0.180733964528358,6.63705340792249,3.2001572174874e-11,7.59103959964825e-09,"CLUG_05568 (RBR2)"
"CLUG_01196",217.015378069733,1.06864769111433,0.237117586890026,4.50682593868484,6.58045709853913e-06,0.00104062617394398,"CLUG_01196 (CCC1)"
"CLUG_01970",433.850001173781,-1.06232378667417,0.136036482837621,-7.80910947206868,5.75934606172269e-15,1.72568195417828e-12,"CLUG_01970 (HAP3)"
"CLUG_05333",664.73384920655,-1.06993077973549,0.213468037666522,-5.01213573437595,5.38292103154966e-07,9.28635437351885e-05,"CLUG_05333 (CCC2)"
"CLUG_02904",603.175991111654,-1.12278796104319,0.19686390532505,-5.70337136809976,1.17460685918348e-08,2.30587477563156e-06,"CLUG_02904 (DAC1)"
"CLUG_05334",3332.82287254264,-1.14250177143799,0.140339626478087,-8.14097771320765,3.92098570823412e-16,1.39513572731105e-13,"CLUG_05334 (CCC2)"
"CLUG_04190",67.0205777089172,-1.14682670415201,0.28709075946172,-3.9946486132199,6.4790271459338e-05,0.00801850033517416,"CLUG_04190 (HST6)"
"CLUG_05914",136.124163624709,-1.16096298503523,0.298265747175747,-3.89237784099679,9.92664858298946e-05,0.0110808647809724,"CLUG_05914"
"CLUG_00074",190.133036785152,-1.17275672393194,0.260901466813952,-4.49501774847526,6.95641446227777e-06,0.00107034777118236,"NA"
"CLUG_00549",5641.11716199327,-1.19931931628496,0.273199270950032,-4.38990672308314,1.1339929257814e-05,0.00169890045433514,"CLUG_00549"
"CLUG_03968",698.962963518788,-1.35011539096236,0.286502849067769,-4.71239778367091,2.44818890908019e-06,0.000398215413125529,"NA"
"CLUG_04092",1135.15729741248,-1.38899622330111,0.134043266514807,-10.3622976328145,3.68013847493908e-25,1.90463893980256e-22,"CLUG_04092 (ECM38)"
"CLUG_05236",141.05780287455,-1.50167316173207,0.281734796207738,-5.33009476268174,9.81615332273215e-08,1.80268906020368e-05,"NA"
"CLUG_02527",9723.30508856315,-1.51916258011671,0.151558220822177,-10.0236237392833,1.20019979442422e-23,4.88052673546935e-21,"CLUG_02527 (GOR1)"
"CLUG_03762",2133.39213027096,-1.62117349083487,0.205523986115452,-7.88800140302933,3.07064313001053e-15,9.7117618550833e-13,"CLUG_03762 (SEF2)"
"CLUG_02526",5462.69739099209,-1.73274273926978,0.0983290347773169,-17.6218829280067,1.67341232816871e-69,1.90534727685289e-66,"CLUG_02526 (MRS4)"
"CLUG_01845",4704.49150171427,-1.77266420799809,0.312758297258201,-5.66784070490911,1.44608309536496e-08,2.74418368730424e-06,"CLUG_01845"
"CLUG_02779",471.030950025578,-1.81165818536047,0.233748373220784,-7.75046328835536,9.15578871486168e-15,2.60619525768538e-12,"CLUG_02779"
"CLUG_03219",413.259181515759,-1.86633740358289,0.216651286094017,-8.61447645767948,7.02619191932067e-18,2.6666740397795e-15,"CLUG_03219"
"CLUG_03427",239.604072430177,-1.91187545600474,0.238151047766488,-8.02799514818585,9.90783979277132e-16,3.31796070236748e-13,"CLUG_03427 (SOD6)"
"CLUG_00820",622.583183848906,-2.23360423570339,0.178684273069968,-12.5002844253046,7.43846737334786e-36,4.70524386182993e-33,"CLUG_00820 (AFG1)"
"CLUG_02715",3427.01352235691,-2.49189648553636,0.0901937447738984,-27.6282628222517,5.09319796302238e-168,2.89955760034864e-164,"CLUG_02715 (HAP43)"
"CLUG_01565",17765.0258282558,-2.65943647107139,0.110165565865604,-24.140360467224,9.4271146171386e-129,2.6834281757685e-125,"CLUG_01565 (FET33)"
"CLUG_04748",34441.3339461439,-2.75377187214382,0.171855262133325,-16.0237855853809,8.71774087716396e-58,8.27168313561574e-55,"CLUG_04748 (FTR1)"
"CLUG_04093",205.469667153911,-2.97250035820451,0.262030275297555,-11.3441103507181,7.93289236067534e-30,4.51619562093247e-27,"CLUG_04093 (CSA1)"
"CLUG_04344",16269.9704675498,-3.10527139941702,0.734660129196642,-4.22681356454265,2.37023892906767e-05,0.00337344255579556,"CLUG_04344"
"CLUG_02778",943.600440555183,-3.31000915067603,0.320599908176544,-10.3244232648168,5.4646215827703e-25,2.59250755589261e-22,"CLUG_02778"
"CLUG_02780",397.376936185286,-3.45647996505652,0.274467350289847,-12.5934103324361,2.29537776397163e-36,1.63344820128631e-33,"CLUG_02780 (FTH1)"
"CLUG_01670",4562.7509243442,-3.92125752392166,0.166763504956208,-23.5138828783395,2.9413081940308e-122,5.58162251620579e-119,"CLUG_01670 (SIT1)"
"CLUG_04096",85.1584023150972,-5.64922465221274,0.558788341744618,-10.1097754376461,4.99987471431361e-24,2.18956051912211e-21,"CLUG_04096 (PGA7)"
"CLUG_04097",1128.63286547983,-6.83644063264419,0.329403889345699,-20.7539766644029,1.12859397022747e-95,1.60627136812625e-92,"CLUG_04097 (RBT5)"
"CLUG_02348",1550.6346217422,-7.17259934579686,0.532956898959921,-13.4581227108503,2.75835423129299e-41,2.24333009125014e-38,"CLUG_02348"
