,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
CLUG_02695,4848.449986,1.888393601,0.254719934,7.413607458,1.23E-13,3.33E-11,CLUG_02695
CLUG_03228,661.7507437,1.334310315,0.383076563,3.483142651,0.000495564,0.045503986,CLUG_03228 (SAP7)
CLUG_03835,1168.140951,1.291013659,0.214536447,6.017689195,1.77E-09,3.87E-07,CLUG_03835 (SFU1)
CLUG_04217,9242.457659,1.255608735,0.170167153,7.378678621,1.60E-13,4.14E-11,CLUG_04217 (CCP1)
CLUG_05568,3039.596684,1.199540975,0.180733965,6.637053408,3.20E-11,7.59E-09,CLUG_05568 (RBR2)
CLUG_01196,217.0153781,1.068647691,0.237117587,4.506825939,6.58E-06,0.001040626,CLUG_01196 (CCC1)
CLUG_01970,433.8500012,-1.062323787,0.136036483,-7.809109472,5.76E-15,1.73E-12,CLUG_01970 (HAP3)
CLUG_05333,664.7338492,-1.06993078,0.213468038,-5.012135734,5.38E-07,9.29E-05,CLUG_05333 (CCC2)
CLUG_02904,603.1759911,-1.122787961,0.196863905,-5.703371368,1.17E-08,2.31E-06,CLUG_02904 (DAC1)
CLUG_05334,3332.822873,-1.142501771,0.140339626,-8.140977713,3.92E-16,1.40E-13,CLUG_05334 (CCC2)
CLUG_04190,67.02057771,-1.146826704,0.287090759,-3.994648613,6.48E-05,0.0080185,CLUG_04190 (HST6)
CLUG_05914,136.1241636,-1.160962985,0.298265747,-3.892377841,9.93E-05,0.011080865,CLUG_05914
CLUG_00074,190.1330368,-1.172756724,0.260901467,-4.495017748,6.96E-06,0.001070348,CLUG_00074
CLUG_00549,5641.117162,-1.199319316,0.273199271,-4.389906723,1.13E-05,0.0016989,CLUG_00549
CLUG_03968,698.9629635,-1.350115391,0.286502849,-4.712397784,2.45E-06,0.000398215,CLUG_03968
CLUG_04092,1135.157297,-1.388996223,0.134043267,-10.36229763,3.68E-25,1.90E-22,CLUG_04092 (ECM38)
CLUG_05236,141.0578029,-1.501673162,0.281734796,-5.330094763,9.82E-08,1.80E-05,CLUG_05236
CLUG_02527,9723.305089,-1.51916258,0.151558221,-10.02362374,1.20E-23,4.88E-21,CLUG_02527 (GOR1)
CLUG_03762,2133.39213,-1.621173491,0.205523986,-7.888001403,3.07E-15,9.71E-13,CLUG_03762 (SEF2)
CLUG_02526,5462.697391,-1.732742739,0.098329035,-17.62188293,1.67E-69,1.91E-66,CLUG_02526 (MRS4)
CLUG_01845,4704.491502,-1.772664208,0.312758297,-5.667840705,1.45E-08,2.74E-06,CLUG_01845
CLUG_02779,471.03095,-1.811658185,0.233748373,-7.750463288,9.16E-15,2.61E-12,CLUG_02779
CLUG_03219,413.2591815,-1.866337404,0.216651286,-8.614476458,7.03E-18,2.67E-15,CLUG_03219
CLUG_03427,239.6040724,-1.911875456,0.238151048,-8.027995148,9.91E-16,3.32E-13,CLUG_03427 (SOD6)
CLUG_00820,622.5831838,-2.233604236,0.178684273,-12.50028443,7.44E-36,4.71E-33,CLUG_00820 (AFG1)
CLUG_02715,3427.013522,-2.491896486,0.090193745,-27.62826282,5.09E-168,2.90E-164,CLUG_02715 (HAP43)
CLUG_01565,17765.02583,-2.659436471,0.110165566,-24.14036047,9.43E-129,2.68E-125,CLUG_01565 (FET33)
CLUG_04748,34441.33395,-2.753771872,0.171855262,-16.02378559,8.72E-58,8.27E-55,CLUG_04748 (FTR1)
CLUG_04093,205.4696672,-2.972500358,0.262030275,-11.34411035,7.93E-30,4.52E-27,CLUG_04093 (CSA1)
CLUG_04344,16269.97047,-3.105271399,0.734660129,-4.226813565,2.37E-05,0.003373443,CLUG_04344
CLUG_02778,943.6004406,-3.310009151,0.320599908,-10.32442326,5.46E-25,2.59E-22,CLUG_02778
CLUG_02780,397.3769362,-3.456479965,0.27446735,-12.59341033,2.30E-36,1.63E-33,CLUG_02780 (FTH1)
CLUG_01670,4562.750924,-3.921257524,0.166763505,-23.51388288,2.94E-122,5.58E-119,CLUG_01670 (SIT1)
CLUG_04096,85.15840232,-5.649224652,0.558788342,-10.10977544,5.00E-24,2.19E-21,CLUG_04096 (PGA7)
CLUG_04097,1128.632865,-6.836440633,0.329403889,-20.75397666,1.13E-95,1.61E-92,CLUG_04097 (RBT5)
CLUG_02348,1550.634622,-7.172599346,0.532956899,-13.45812271,2.76E-41,2.24E-38,CLUG_02348
