,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
CLUG_05787,75097.97945,4.553339421,0.823719142,5.527781484,3.24E-08,4.86E-06,CLUG_05787 (INO1)
CLUG_03835,2296.527546,1.951478193,0.151992543,12.83930219,9.88E-38,6.25E-35,CLUG_03835 (SFU1)
CLUG_02695,5300.234793,1.769666373,0.272043959,6.505075069,7.77E-11,1.64E-08,CLUG_02695
CLUG_01196,367.1785885,1.442060773,0.121389338,11.8796329,1.51E-32,6.62E-30,CLUG_01196 (CCC1)
CLUG_01195,166.3855745,1.381463169,0.213586722,6.467926279,9.94E-11,2.02E-08,CLUG_01195
CLUG_02782,8131.639092,1.215385019,0.208158132,5.838758296,5.26E-09,8.81E-07,CLUG_02782 (ITR1)
CLUG_00811,6253.430352,-1.026284028,0.263934695,-3.88840137,0.000100907,0.007876249,CLUG_00811
CLUG_01649,4928.488968,-1.026319438,0.30796445,-3.332590619,0.000860414,0.048541005,CLUG_01649 (PUT1)
CLUG_03999,1211.256434,-1.036065775,0.110409935,-9.383809294,6.36E-21,2.27E-18,CLUG_03999
CLUG_00074,169.9128258,-1.036187872,0.250600143,-4.134825541,3.55E-05,0.003020998,CLUG_00074
CLUG_03792,8053.345716,-1.063288566,0.228222013,-4.65900968,3.18E-06,0.00035499,CLUG_03792 (GCV1)
CLUG_01147,14069.09292,-1.147321646,0.20204459,-5.678556633,1.36E-08,2.15E-06,CLUG_01147 (ADE13)
CLUG_03727,146.7574409,-1.282075113,0.375168701,-3.417329616,0.000632387,0.038745581,CLUG_03727
CLUG_02445,1677.116198,-1.295358584,0.284387856,-4.554901189,5.24E-06,0.000553025,CLUG_02445 (ISU1)
CLUG_02904,509.4512467,-1.305223052,0.278377479,-4.688680485,2.75E-06,0.000319754,CLUG_02904 (DAC1)
CLUG_03968,440.1482403,-1.333174499,0.179267895,-7.43677222,1.03E-13,2.80E-11,CLUG_03968
CLUG_05620,55.27058704,-1.346155037,0.39058061,-3.446548556,0.000567797,0.035947829,CLUG_05620
CLUG_04092,899.347894,-1.376060303,0.148723097,-9.252498982,2.19E-20,7.35E-18,CLUG_04092 (ECM38)
CLUG_05334,2131.146696,-1.436346678,0.157352184,-9.128228411,6.96E-20,2.20E-17,CLUG_05334 (CCC2)
CLUG_04997,1027.145112,-1.438878758,0.151039305,-9.52651866,1.63E-21,6.18E-19,CLUG_04997
CLUG_05333,441.8260567,-1.493633821,0.239828724,-6.227918799,4.73E-10,9.29E-08,CLUG_05333 (CCC2)
CLUG_04288,299.419353,-1.502973015,0.333200005,-4.51072326,6.46E-06,0.000669328,CLUG_04288
CLUG_04909,6895.896796,-1.588474746,0.257726994,-6.163400743,7.12E-10,1.31E-07,CLUG_04909 (PHO84)
CLUG_05608,50.62439285,-1.605661227,0.32877964,-4.883700308,1.04E-06,0.000134827,CLUG_05608
CLUG_02526,4688.099891,-1.663961063,0.133347128,-12.47841693,9.79E-36,5.07E-33,CLUG_02526 (MRS4)
CLUG_02527,9443.201009,-1.701037091,0.133765314,-12.71657828,4.78E-37,2.73E-34,CLUG_02527 (GOR1)
CLUG_00549,3782.028636,-1.74182243,0.219345736,-7.940990597,2.01E-15,6.02E-13,CLUG_00549
CLUG_00179,7463.323535,-1.743297444,0.329856377,-5.285019683,1.26E-07,1.79E-05,CLUG_00179 (GCV2)
CLUG_03762,1486.185538,-1.816190172,0.293032275,-6.197918553,5.72E-10,1.09E-07,CLUG_03762 (SEF2)
CLUG_03427,180.612206,-1.834664991,0.313189138,-5.858009638,4.68E-09,8.09E-07,CLUG_03427 (SOD6)
CLUG_02779,366.3054649,-2.238132861,0.197415937,-11.3371438,8.59E-30,3.50E-27,CLUG_02779
CLUG_03760,5497.56077,-2.328968615,0.355014326,-6.560210233,5.37E-11,1.18E-08,CLUG_03760 (HAK1)
CLUG_01845,2563.536181,-2.375182279,0.321760577,-7.381831229,1.56E-13,4.04E-11,CLUG_01845
CLUG_04097,102.4808659,-2.868770494,0.428125146,-6.700775504,2.07E-11,4.73E-09,CLUG_04097 (RBT5)
CLUG_02715,1602.319024,-3.045772583,0.165659888,-18.38569742,1.71E-75,2.44E-72,CLUG_02715 (HAP43)
CLUG_03219,315.9088103,-3.116840981,0.19998316,-15.5855172,9.13E-55,1.04E-51,CLUG_03219
CLUG_02780,235.7258342,-3.309593251,0.430597111,-7.686055398,1.52E-14,4.32E-12,CLUG_02780 (FTH1)
CLUG_00820,417.4722972,-3.321905603,0.226342626,-14.67644721,9.12E-49,7.43E-46,CLUG_00820 (AFG1)
CLUG_01670,2543.62144,-3.693240943,0.23896682,-15.45503656,6.98E-54,6.63E-51,CLUG_01670 (SIT1)
CLUG_04748,19583.37992,-4.381811068,0.193509611,-22.64389371,1.60E-113,4.57E-110,CLUG_04748 (FTR1)
CLUG_01565,10050.7399,-5.04155909,0.143284696,-35.18560763,3.32E-271,1.89E-267,CLUG_01565 (FET33)
CLUG_02778,620.1876084,-5.498443418,0.289193424,-19.01303059,1.33E-80,2.53E-77,CLUG_02778
CLUG_02348,442.6863815,-5.508302337,0.453975862,-12.13346963,7.02E-34,3.33E-31,CLUG_02348
CLUG_04344,11475.45858,-5.670436674,0.411986327,-13.76365259,4.22E-43,3.00E-40,CLUG_04344
