"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLUG_00032",7473.9212302837,-0.393158150231577,0.0820507225192763,-4.79164763161241,1.65417234767021e-06,0.000724400244252807
"CLUG_00820",147.600729972931,-1.4998237668701,0.262871792264499,-5.70553330941266,1.15979373043265e-08,8.25338213419132e-06
"CLUG_01114",27624.1666476886,-1.03806488386315,0.220848761813409,-4.70034278362941,2.59725148019895e-06,0.00105615376262662
"CLUG_01195",178.825841158455,1.10027162732275,0.222340996940283,4.94857737648025,7.47578710086432e-07,0.000425596559652206
"CLUG_01196",418.817012252006,0.891531764678389,0.182637327666467,4.88143237786804,1.05318038514822e-06,0.000499646327720737
"CLUG_01501",55411.5036265609,-0.600267780468408,0.155671124586829,-3.85599951218696,0.000115257717099797,0.0410101364655716
"CLUG_01565",2721.32377453795,-3.01081691720971,0.131912406095818,-22.8243650943848,2.62724117496625e-115,1.49568840090829e-111
"CLUG_02715",691.34867660078,-1.55447390135368,0.125182569867124,-12.4176544945809,2.09617212448321e-35,3.97783596822764e-32
"CLUG_02778",99.8759392761152,-2.66267320417405,0.362223709103504,-7.35090811908507,1.96864716290559e-13,2.80187707460538e-10
"CLUG_03219",121.917172003126,-1.42152462181379,0.267305052967642,-5.31798634568224,1.04921940720648e-07,6.63689565025169e-05
"CLUG_03762",855.377614846438,-0.645867587683973,0.138194839631301,-4.67360134001476,2.95963563928031e-06,0.00112328037962819
"CLUG_03835",2677.61682688421,1.16178357830203,0.195562165826916,5.940737940744,2.83741889071636e-09,2.30763224926403e-06
"CLUG_04344",1913.62209404034,-2.91468615691447,0.419976128809668,-6.94012339504989,3.91757601034243e-12,4.46055204537589e-09
"CLUG_04748",5344.1704862333,-2.28636493999129,0.132464634308608,-17.260191385609,9.37995355479716e-67,2.67000377937301e-63
"CLUG_04997",877.458563370054,-1.0869694524931,0.221318059832356,-4.91134547861327,9.04535542819407e-07,0.000468138258660989
"CLUG_05334",1619.55203571271,-0.829705403302318,0.121656346395256,-6.82007497255133,9.09930107918634e-12,8.63372017396798e-09
"CLUG_05652",3024.41017121854,-0.63200193997356,0.164867992998685,-3.83338165570198,0.000126393621540788,0.0423269933783357
