Locustag,DRM2-2,DRM7-2,DRM8-1,DRM1-2,DRM1-1,DRM6-2,DRM6-3,DRM4-3,DRM8-3,DRM3-3,DRM6-1,DRM2-3,DRM1-3,DRM5-3,DRM4-1,DRM5-2,DRM7-3,DRM2-1,DRM8-2,DRM5-1,DRM4-2,DRM3-1,DRM3-2,DRM7-1
CLUG_00001,16285,10815,20705,30191,28654,16172,16037,15275,14066,11768,22649,16434,29148,26255,22176,26979,9765,23232,12399,27878,12269,17228,13066,19552
CLUG_00002,7005,6530,8193,10204,9250,6501,7093,6637,7075,6147,8695,7318,9657,8864,8358,9303,6254,8766,6656,9441,6155,7716,7143,7759
CLUG_00003,7299,7134,8077,10900,10636,6740,7169,6681,6406,6358,9332,7371,11094,9966,8558,10440,6768,9400,6655,10895,6339,8130,7498,7854
CLUG_00004,14511,16470,12053,2973,2090,14726,17473,15749,16451,13845,8551,15917,3538,4374,10278,3548,17185,8370,17190,2643,13420,11652,15388,13372
CLUG_00005,2409,2560,2588,2929,2663,2039,2312,2202,2490,2149,2883,2433,3010,2713,2925,2783,2509,2741,2434,3027,2261,2539,2719,2235
CLUG_00006,1087,926,1014,1774,1763,850,998,940,1087,849,1478,1101,1750,1702,1137,1627,1091,1439,983,1793,840,1148,1177,1130
CLUG_00007,1874,1837,1813,1530,1672,1598,1600,1779,1746,1718,1639,1931,1340,1352,1829,1225,1688,1690,1839,1471,1947,2052,1881,1769
CLUG_00008,795,1132,1006,1455,1519,598,675,759,759,1037,883,630,1146,975,1082,985,933,979,919,1374,1005,1135,1052,1131
CLUG_00009,867,1261,1637,3084,3104,932,988,875,960,1050,1742,1001,2575,2084,1739,2224,1095,1671,1028,2623,1027,1825,1226,1773
CLUG_00010,531,975,922,1953,2413,504,475,603,549,629,1034,553,1665,1307,1210,1400,814,1005,766,1862,709,1157,958,1097
CLUG_00011,2358,2864,3333,4368,4796,1993,2199,2359,2429,2553,3325,2384,3966,3690,3321,3682,2680,3213,2539,4399,2506,3587,3190,3328
CLUG_00012,593,818,536,1193,1729,417,411,711,625,811,1034,609,1083,824,726,909,953,1024,735,1632,753,902,1084,510
CLUG_00013,2532,2292,2574,3083,2712,2181,2320,2251,2592,2030,2769,2612,3280,2918,2765,2950,2355,2854,2205,3074,2017,2766,2532,2598
CLUG_00014,836,962,892,1107,1164,867,877,798,841,572,1114,911,956,890,893,895,772,987,883,968,732,773,647,861
CLUG_00015,357,554,184,104,133,279,291,412,384,412,113,378,69,88,152,53,547,119,465,102,380,254,474,224
CLUG_00016,634,1172,659,1239,1332,526,598,642,620,984,977,635,1063,835,645,833,1085,951,881,1191,886,954,1129,615
CLUG_00017,2257,2399,2238,1955,2003,1891,2286,2088,2006,2157,2117,2331,1827,1692,2024,1776,2134,2099,2434,1939,2014,2494,2203,2241
CLUG_00018,1120,931,865,746,1090,1686,1879,1080,1811,598,904,1268,577,597,856,544,645,876,1517,890,861,641,686,783
CLUG_00019,14796,13388,10457,14461,8783,20132,20160,14267,14303,10975,14499,16219,13447,12877,9430,13619,11128,11057,16385,10116,11984,7508,11226,8844
CLUG_00020,700,1217,1722,3869,4806,712,692,653,840,713,1576,645,3029,2589,1966,2707,613,1701,891,3847,894,1574,929,1571
CLUG_00021,4108,6183,4119,3719,3934,3407,4221,4304,4165,5438,3886,4235,3265,2766,3977,2924,5020,3592,6217,3444,5271,5138,5619,3965
CLUG_00022,8586,9022,9729,10317,10391,7860,8513,8561,6832,8217,9689,8664,9391,8539,9483,9082,8246,9278,8989,10297,8201,9782,9480,9570
CLUG_00023,34695,41813,32400,36989,30834,38785,40347,37252,37901,37002,30637,35541,32181,30881,32481,31732,33517,26965,41063,28895,35623,33773,35401,32655
CLUG_00024,7565,7484,7438,6738,6737,11640,11602,7421,9542,6134,7416,8169,5875,6040,6996,5833,6097,6132,8515,6315,6295,5864,5688,6629
CLUG_00025,2025,1967,3545,4639,4843,2079,2257,1958,2208,1716,2928,2049,4515,3734,3460,3850,1883,2907,2214,4497,1933,3140,2011,3852
CLUG_00026,1286,1311,2026,4186,4740,1175,1203,1204,1224,1133,2246,1288,4471,3384,2203,3490,1362,2455,1196,4344,1035,1730,1513,2343
CLUG_00027,179,120,254,317,346,173,192,100,157,99,379,162,291,227,265,266,103,392,149,376,145,136,136,186
CLUG_00028,147,188,121,25,9,197,281,176,232,127,104,235,15,40,109,29,153,107,169,12,130,72,91,93
CLUG_00029,2417,2618,2547,2860,2725,2185,2327,2365,2404,2134,2905,2653,2637,2441,2706,2543,2324,3241,2516,2573,2207,2302,2198,2146
CLUG_00030,60717,70915,81898,148268,146537,58921,58409,61429,47315,66915,86747,59958,132384,109519,91788,115499,62174,87201,63222,124073,60118,88141,74275,85729
CLUG_00031,1811,1794,2332,1093,927,2742,2935,1960,2392,1490,2223,2043,1143,1545,2112,1240,1415,1820,2277,1113,1494,1709,1370,2218
CLUG_00032,7936,8178,10031,7259,3346,10450,11487,7524,9658,5850,9440,8150,8798,11599,8320,10313,7887,7908,8229,6060,5585,6977,6634,9452
CLUG_00033,497,576,492,509,563,477,588,631,523,548,461,489,505,575,412,529,566,388,588,563,399,439,561,464
CLUG_00034,8245,8956,7727,6747,7153,8763,10248,8250,9591,7385,7653,9356,6363,7045,7223,7219,9184,7551,9717,7627,7649,7250,8929,7365
CLUG_00035,5944,6008,5797,5075,5139,5235,5917,5933,5947,5791,5349,6212,4869,4991,5861,4833,5855,5764,6036,5487,5788,5576,6359,5503
CLUG_00036,2616,2954,2387,1849,2116,2309,2961,2714,2982,2486,2216,3069,1796,1890,2154,1699,3173,2210,2921,2181,2468,2294,3129,2319
CLUG_00037,1872,2065,1806,1667,1810,1454,1738,1809,1898,1825,1709,1878,1711,1706,1721,1540,1780,1640,2018,1839,1690,2104,2111,1740
CLUG_00038,407,433,522,270,326,452,520,479,515,398,426,457,373,309,434,307,418,337,484,398,390,444,460,491
