Input,Output Albicans GeneID,Paralog count,Name,Merged
CLUG_00001,CR_03530W_A,0,MIC60,CLUG_00001 (MIC60)
CLUG_00002,C1_03310W_A,1,ARP7,CLUG_00002 (ARP7)
CLUG_00003,CR_03520C_A,0,N/A,CLUG_00003
CLUG_00004,C6_03340C_A,0,GLC3,CLUG_00004 (GLC3)
CLUG_00005,CR_03510W_A,0,N/A,CLUG_00005
CLUG_00007,CR_03390C_A,0,YKU80,CLUG_00007 (YKU80)
CLUG_00008,CR_03380W_A,0,MTG1,CLUG_00008 (MTG1)
CLUG_00009,CR_03370C_A,0,KTI12,CLUG_00009 (KTI12)
CLUG_00010,CR_03360W_A,0,N/A,CLUG_00010
CLUG_00012,CR_03340C_A,0,SLD2,CLUG_00012 (SLD2)
CLUG_00013,CR_03330W_A,0,N/A,CLUG_00013
CLUG_00014,CR_03310C_A,0,N/A,CLUG_00014
CLUG_00015,CR_03290C_A,0,IME2,CLUG_00015 (IME2)
CLUG_00016,CR_03260W_A,0,N/A,CLUG_00016
CLUG_00017,CR_03540W_A,0,N/A,CLUG_00017
CLUG_00018,CR_03270W_A,0,VHT1,CLUG_00018 (VHT1)
CLUG_00019,C2_10180W_A,4,IFR1,CLUG_00019 (IFR1)
CLUG_00020,C1_01030W_A,0,HMT1,CLUG_00020 (HMT1)
CLUG_00021,C1_01040W_A,0,N/A,CLUG_00021
CLUG_00022,C1_01050C_A,0,N/A,CLUG_00022
CLUG_00023,C1_01060W_A,0,MBF1,CLUG_00023 (MBF1)
CLUG_00024,C1_05350W_A,2,YPT53,CLUG_00024 (YPT53)
CLUG_00025,C1_14080W_A,0,UTP10,CLUG_00025 (UTP10)
CLUG_00026,C1_14080W_A,0,UTP10,CLUG_00026 (UTP10)
CLUG_00027,C1_02570C_A,0,PUT4,CLUG_00027 (PUT4)
CLUG_00029,CR_04480C_A,0,LAP3,CLUG_00029 (LAP3)
CLUG_00030,C2_05610C_A,0,RPS8A,CLUG_00030 (RPS8A)
CLUG_00031,C2_05620W_A,0,KTI11,CLUG_00031 (KTI11)
CLUG_00032,C2_05640W_A,1,N/A,CLUG_00032
CLUG_00033,C2_05670C_A,0,N/A,CLUG_00033
CLUG_00034,C2_05660W_A,0,PNG2,CLUG_00034 (PNG2)
CLUG_00035,C2_05650W_A,0,VPS35,CLUG_00035 (VPS35)
CLUG_00036,C2_06010W_A,0,SPO72,CLUG_00036 (SPO72)
CLUG_00037,C2_06000W_A,0,LAS1,CLUG_00037 (LAS1)
CLUG_00038,C2_02470C_A,9,ATO7,CLUG_00038 (ATO7)
CLUG_00039,C2_04750W_A,0,N/A,CLUG_00039
CLUG_00040,C2_04740C_A,0,N/A,CLUG_00040
CLUG_00041,C2_04800C_A,0,MDM10,CLUG_00041 (MDM10)
CLUG_00042,C2_04790C_A,0,N/A,CLUG_00042
CLUG_00044,C1_03470C_A,2,N/A,CLUG_00044
CLUG_00045,C2_04810W_A,0,HIS3,CLUG_00045 (HIS3)
CLUG_00046,C2_04820W_A,0,N/A,CLUG_00046
CLUG_00047,C2_04830W_A,1,N/A,CLUG_00047
CLUG_00048,C2_04850C_A,0,N/A,CLUG_00048
CLUG_00049,C4_05150W_A,0,VAC8,CLUG_00049 (VAC8)
CLUG_00050,C4_05160C_A,0,N/A,CLUG_00050
CLUG_00051,C2_00810C_A,1,N/A,CLUG_00051
CLUG_00052,C3_06440W_A,1,N/A,CLUG_00052
CLUG_00053,C4_05190C_A,0,EDC3,CLUG_00053 (EDC3)
CLUG_00054,C1_02100W_A,0,N/A,CLUG_00054
CLUG_00055,C1_01890C_A,0,N/A,CLUG_00055
CLUG_00057,C1_01870C_A,2,CYS4,CLUG_00057 (CYS4)
CLUG_00058,C1_01860W_A,0,N/A,CLUG_00058
CLUG_00059,C1_01850C_A,0,N/A,CLUG_00059
CLUG_00060,C1_01850C_A,0,N/A,CLUG_00060
CLUG_00063,C3_06150W_A,0,N/A,CLUG_00063
CLUG_00064,C3_06160C_A,2,NSA2,CLUG_00064 (NSA2)
CLUG_00065,C3_06370C_A,0,N/A,CLUG_00065
CLUG_00066,C1_13570W_A,1,MPT5,CLUG_00066 (MPT5)
CLUG_00069,C1_13550C_A,0,NUP49,CLUG_00069 (NUP49)
CLUG_00070,C1_13380W_A,0,CWC26,CLUG_00070 (CWC26)
CLUG_00072,C1_13400C_A,0,AGC1,CLUG_00072 (AGC1)
CLUG_00073,C1_13420C_A,1,KEM1,CLUG_00073 (KEM1)
CLUG_00077,C1_13470W_A,0,KNS1,CLUG_00077 (KNS1)
CLUG_00078,C1_13940W_A,1,SIM1,CLUG_00078 (SIM1)
CLUG_00079,C1_13950C_A,0,ATG12,CLUG_00079 (ATG12)
CLUG_00080,C1_13960W_A,0,YBP1,CLUG_00080 (YBP1)
CLUG_00081,C1_00570C_A,21,N/A,CLUG_00081
CLUG_00083,C1_13810W_A,0,N/A,CLUG_00083
CLUG_00085,C7_03870W_A,0,RAD6,CLUG_00085 (RAD6)
CLUG_00086,C2_06880C_A,1,PRB1,CLUG_00086 (PRB1)
CLUG_00088,C7_03610C_A,0,N/A,CLUG_00088
CLUG_00089,CR_08960C_A,0,MPS1,CLUG_00089 (MPS1)
CLUG_00090,CR_08950W_A,0,ARP2,CLUG_00090 (ARP2)
CLUG_00091,CR_08940W_A,0,TRM61,CLUG_00091 (TRM61)
CLUG_00092,CR_08930C_A,0,N/A,CLUG_00092
CLUG_00093,CR_08910C_A,0,RPN7,CLUG_00093 (RPN7)
CLUG_00094,C1_01830C_A,0,UBC8,CLUG_00094 (UBC8)
CLUG_00095,C1_01810C_A,1,UGA2,CLUG_00095 (UGA2)
CLUG_00097,C1_01790W_A,1,SWI4,CLUG_00097 (SWI4)
CLUG_00098,C2_05360C_A,1,BIO32,CLUG_00098 (BIO32)
CLUG_00099,C1_01780C_A,0,HOL4,CLUG_00099 (HOL4)
CLUG_00100,C1_01770W_A,0,MAK32,CLUG_00100 (MAK32)
CLUG_00101,C1_03690W_A,0,N/A,CLUG_00101
CLUG_00102,C1_03670C_A,2,DAO1,CLUG_00102 (DAO1)
CLUG_00103,C1_03600W_A,0,N/A,CLUG_00103
CLUG_00104,C1_03610C_A,0,IMP1,CLUG_00104 (IMP1)
CLUG_00105,C5_02740W_A,0,N/A,CLUG_00105
CLUG_00106,C1_03630W_A,0,N/A,CLUG_00106
CLUG_00108,C1_03650C_A,0,MRPL27,CLUG_00108 (MRPL27)
CLUG_00109,C5_00460C_A,4,FET33,CLUG_00109 (FET33)
CLUG_00110,C1_03540C_A,0,N/A,CLUG_00110
CLUG_00111,C1_03530W_A,0,MED17,CLUG_00111 (MED17)
CLUG_00112,C1_03500W_A,0,YPT1,CLUG_00112 (YPT1)
CLUG_00113,C1_03490W_A,0,N/A,CLUG_00113
CLUG_00114,C6_03080C_A,0,ADO1,CLUG_00114 (ADO1)
CLUG_00116,C6_03120W_A,0,POL5,CLUG_00116 (POL5)
CLUG_00117,C3_06510C_A,2,HST6,CLUG_00117 (HST6)
CLUG_00118,C6_03960W_A,0,N/A,CLUG_00118
CLUG_00119,C6_03950C_A,0,SWC5,CLUG_00119 (SWC5)
CLUG_00120,C6_03380W_A,1,N/A,CLUG_00120
CLUG_00121,C6_03930W_A,0,OPT8,CLUG_00121 (OPT8)
CLUG_00122,C6_03920W_A,0,SNF4,CLUG_00122 (SNF4)
CLUG_00123,C2_02590W_A,1,ZRT2,CLUG_00123 (ZRT2)
CLUG_00125,C1_03620C_A,2,RPS22B,CLUG_00125 (RPS22B)
CLUG_00126,C2_02280W_A,0,AIM36,CLUG_00126 (AIM36)
CLUG_00127,C2_02290C_A,0,N/A,CLUG_00127
CLUG_00128,C2_02300W_A,0,N/A,CLUG_00128
CLUG_00129,C2_02310W_A,0,N/A,CLUG_00129
CLUG_00130,C2_02320C_A,1,CPR3,CLUG_00130 (CPR3)
CLUG_00131,C2_06610C_A,2,N/A,CLUG_00131
CLUG_00132,C2_06610C_A,2,N/A,CLUG_00132
CLUG_00134,C2_02340C_A,0,ENT3,CLUG_00134 (ENT3)
CLUG_00136,C2_02360C_A,0,N/A,CLUG_00136
CLUG_00137,C2_02370C_A,0,HOM2,CLUG_00137 (HOM2)
CLUG_00138,C2_02380W_A,0,POB3,CLUG_00138 (POB3)
CLUG_00139,C2_02400W_A,0,ECM3,CLUG_00139 (ECM3)
CLUG_00140,C2_02410W_A,1,N/A,CLUG_00140
CLUG_00141,C2_02420C_A,0,DUS3,CLUG_00141 (DUS3)
CLUG_00142,C2_02430W_A,0,UTP21,CLUG_00142 (UTP21)
CLUG_00143,C2_02440W_A,0,N/A,CLUG_00143
CLUG_00144,C2_05370C_A,0,RXT3,CLUG_00144 (RXT3)
CLUG_00145,C2_05380W_A,0,N/A,CLUG_00145
CLUG_00146,C3_05210C_A,1,DYN1,CLUG_00146 (DYN1)
CLUG_00147,C2_05400W_A,0,N/A,CLUG_00147
CLUG_00148,C2_05410W_A,0,N/A,CLUG_00148
CLUG_00149,C2_05440W_A,0,PEX6,CLUG_00149 (PEX6)
